"store_id","star_store","star_phone","zip_code","star_address"
"TW_10001","星巴克海景門市FerryHarbor","02-2428-4223","200","200基隆市仁愛區港西街6-2號"
"TW_10002","星巴克義14門市","02-2427-8583","202","202基隆市中正區義一路14號"
"TW_10003","星巴克青島西門市","02-23610295","100","100台北市中山區青島西路7號一樓"
"TW_10004","星巴克台醫B1門市","02-2321-5497","100","100台北市中正區中山南路7號B1"
"TW_10005","星巴克台鐵一門市TaipeiStation2F","02-2331-8012","100","100台北市中正區北平西路3號"
"TW_10006","星巴克站前廣場門市EsliteTaipeiMainStationB2","02-2383-1251","100","100台北市中正區忠孝西路一段47號"
"TW_10007","星巴克捷運門市MRT","02-2375-9066","100","100台北市中正區忠孝西路一段49號"
"TW_10008","星巴克新世界門市","02-2371-7092","100","100台北市中正區忠孝西路一段49號"
"TW_10009","星巴克紹興門市","02-23958127","100","100台北市中正區忠孝東路一段31號1樓"
"TW_10010","星巴克忠新門市ZhongXin","02-2395-7870","100","100台北市中正區忠孝東路二段134巷2號"
"TW_10011","星巴克杭州門市HangZhou","02-2393-0139","100","100台北市中正區信義路二段1號"
"TW_10012","星巴克南海門市NanHai","02-2396-0860","100","100台北市中正區南海路20號"
"TW_10013","星巴克許昌南陽","02-2389-9086","100","100台北市中正區南陽街1號"
"TW_10014","星巴克公館水源門市KongkuanShuiyuan","02-2368-2805","100","100台北市中正區思源街16號"
"TW_10015","星巴克重慶門市ChongQing","02-2371-3336","100","100台北市中正區重慶南路一段104號"
"TW_10016","星巴克館前漢口門市","02-2331-0893","100","100台北市中正區館前路26號"
"TW_10017","星巴克懷寧門市HuaiNing","02-2389-3776","100","100台北市中正區懷寧街10號"
"TW_10018","星巴克公館門市KongKuan","02-2368-5629","100","100台北市中正區羅斯福路四段26號"
"TW_10019","星巴克寶平門市BaoPing","02-2331-0388","100","100台北市中正區寶慶路32號(遠東百貨股份有限公司)"
"TW_10020","星巴克京站門市","02-2552-7432","103","103台北市大同區台北轉運站(交九站)承德路一段1號"
"TW_10021","星巴克京站二門市(京站百貨內)","02-2552-7178","103","103台北市大同區承德路一段1號4樓"
"TW_10022","星巴克南西門市NanXi","02-2556-6810","103","103台北市大同區南京西路27號"
"TW_10023","星巴克台北圓環門市","02-2559-8348","103","103台北市大同區南京西路288號"
"TW_10024","星巴克中山門市ZhongShan","02-2586-9568","104","104台北市中山區中山北路二段171號"
"TW_10025","星巴克馬偕門市Mackay","02-2511-6691","104","104台北市中山區民生西路7號"
"TW_10026","星巴克龍權門市LongQuan","02-2517-9259","104","104台北市中山區民權東路三段22號"
"TW_10027","星巴克民權門市MinQuan","02-2504-4751","104","104台北市中山區民權東路三段88號"
"TW_10028","星巴克松江門市SongJiang","02-2564-2790","104","104台北市中山區松江路206號"
"TW_10029","星巴克林森門市LinSen","02-2542-8870","104","104台北市中山區欣欣百貨林森北路247號"
"TW_10030","星巴克南京林森NanjingLinsen","02-2523-4586","104","104台北市中山區南京東路一段52號"
"TW_10031","星巴克南京建國門市","02-2515-1918","104","104台北市中山區南京東路三段1號"
"TW_10032","星巴克大直植福門市","02-85027502","104","104台北市中山區敬業二路115號1樓"
"TW_10033","星巴克美麗華門市Miramar","02-2175-3190","104","104台北市中山區敬業三路20號"
"TW_10034","星巴克實踐門市ShihChien","02-2532-5223","104","104台北市中山區實踐大學大直街70號"
"TW_10035","星巴克三創門市","02-23418205","104","104台北市中正區市民大道三段2號"
"TW_10036","星巴克台視門市TTV","02-2579-3016","105","105台北市松山區八德路三段10號"
"TW_10037","星巴克民生門市MinSheng","02-2712-0428","105","105台北市松山區民生東路三段105號"
"TW_10038","星巴克宏泰門市HongTai","02-2719-2682","105","105台北市松山區民生東路三段156-1號"
"TW_10039","星巴克三民門市SanMin","02-2767-6603","105","105台北市松山區民生東路五段158號"
"TW_10040","星巴克京華門市CorePacificCity","02-8761-6614","105","105台北市松山區京華城停車場八德路四段138號"
"TW_10041","星巴克南京三民門市","02-37652625","105","105台北市松山區南京東路五段171號1樓"
"TW_10042","星巴克北寧門市BeiNing","02-2570-6312","105","105台北市松山區南京東路四段56號"
"TW_10043","星巴克松山機場門市","02-2545-3398","105","105台北市松山區捷運松山機場站敦化北路340-9號"
"TW_10044","星巴克微風廣場門市Breeze-GF","02-8772-5686","105","105台北市松山區復興南路一段39號"
"TW_10045","星巴克敦化門市DunHua","02-2718-2750","105","105台北市松山區敦化北路147號"
"TW_10046","星巴克慶城門市","02-2716-5113","105","105台北市松山區慶城街1號慶城街1號"
"TW_10047","星巴克通化門市","02-27018950","106","106台北市大安區文昌街209號"
"TW_10048","星巴克華視門市CTS","02-8771-9692","106","106台北市大安區光復南路180巷14號"
"TW_10049","星巴克辛亥門市XinHai","02-2738-5799","106","106台北市大安區辛亥路二段175號"
"TW_10050","星巴克和平門市HePing","02-2369-4200","106","106台北市大安區和平東路一段2號"
"TW_10051","星巴克建和門市JianHe","02-2363-9331","106","106台北市大安區和平東路二段42-1號"
"TW_10052","星巴克仁愛延吉門市","02-27754574","106","106台北市大安區延吉街175號"
"TW_10053","星巴克崇興門市BR4SOGO","02-8772-5940","106","106台北市大安區忠孝東路三段300號"
"TW_10054","星巴克龍門門市LongMen","02-2740-6782","106","106台北市大安區忠孝東路四段134號"
"TW_10055","星巴克復安門市FuAn","02-2775-1187","106","106台北市大安區南陽大樓復興南路一段135巷9號"
"TW_10056","星巴克師大雲和門市ShidaYunhe","02-2363-8317","106","106台北市大安區師大路74號"
"TW_10057","星巴克同領門市TONGLING","02-8771-0612","106","106台北市大安區統領廣場忠孝東路四段201號"
"TW_10058","星巴克復安門市","02-27751187","106","106台北市大安區復興南路一段135巷9號"
"TW_10059","星巴克興南門市XingNan","02-2325-9473","106","106台北市大安區復興南路一段323號"
"TW_10060","星巴克興和門市XinHe","02-2701-9918","106","106台北市大安區復興南路二段275號"
"TW_10061","星巴克敦誠門市","02-8773-1626","106","106台北市大安區敦化南路一段245號G樓"
"TW_10062","星巴克敦南門市DunNan","02-2754-9460","106","106台北市大安區敦化南路二段101號"
"TW_10063","星巴克敦和門市DunHe","02-2732-0326","106","106台北市大安區敦化南路二段263號"
"TW_10064","星巴克敦富門市DunFu","02-2707-4198","106","106台北市大安區敦化南路二段59號"
"TW_10065","星巴克羅斯福門市Roosevelt","02-2364-6845","106","106台北市大安區羅斯福路三段301號"
"TW_10066","星巴克西門成都門市","02-2311-4818","108","108台北市萬華區成都路87號"
"TW_10067","星巴克艋舺門市","：02-23028643","108","108台北市萬華區西園路一段306巷24號"
"TW_10068","星巴克萬華西藏門市","02-23031368","108","108台北市萬華區西藏路123號"
"TW_10069","星巴克西門昆明門市","02-2314-8250","108","108台北市萬華區誠品武昌街二段77號"
"TW_10070","星巴克漢中門市HanZhong","02-2370-5893","108","108台北市萬華區漢中街51號"
"TW_10071","星巴克信義ATT門市","02-7737-8755","110","110台北市信義區ATT 4 FUN松壽路12號"
"TW_10072","星巴克101門市Taipei101","02-8101-8126","110","110台北市信義區市府路45號"
"TW_10073","星巴克北醫吳興門市","02-2377-2279","110","110台北市信義區吳興街220巷1號"
"TW_10074","星巴克北醫門市TMUHospital","02-2732-8509","110","110台北市信義區吳興街252號"
"TW_10075","星巴克永春門市YongChun","02-2742-5909","110","110台北市信義區忠孝東路五段297號"
"TW_10076","星巴克台北阪急門市","02-2722-6292","110","110台北市信義區忠孝東路五段8號2樓"
"TW_10077","星巴克統豐門市TongFeng","02-2746-6635","110","110台北市信義區東興路65號"
"TW_10078","星巴克松山車站門市","02-2742-3361","110","110台北市信義區松山路11號1樓"
"TW_10079","星巴克BELLAVITA門市","02-2723-3390","110","110台北市信義區松仁路28號"
"TW_10080","星巴克松仁門市SongRen","02-2723-1486","110","110台北市信義區松仁路7號"
"TW_10081","星巴克統誠門市TongCheng","02-2723-2086","110","110台北市信義區松高路11號"
"TW_10082","星巴克101_35F_門市","02-8101-0701","110","110台北市信義區信義路五段7號"
"TW_10083","星巴克信義松德門市","02-2727-8573","110","110台北市信義區信義路六段1號"
"TW_10084","星巴克台北三興門市","02-27375073","110","110台北市信義區基隆路二段99之1號"
"TW_10085","星巴克南山門市NanShan","02-8786-7793","110","110台北市信義區莊敬路168號"
"TW_10086","星巴克新光門市XinGuang","02-8789-4099","110","110台北市信義區新光三越松壽路11號"
"TW_10087","星巴克忠誠門市ZhongCheng","02-2873-5815","111","111台北市士林區士東路123號"
"TW_10088","星巴克士捷門市ShiJie","02-2883-1657","111","111台北市士林區中正路239號"
"TW_10089","星巴克新天母門市XinTianMu","02-2876-9351","111","111台北市士林區天母西路33號"
"TW_10090","星巴克天母忠誠門市Tianmu_Zongcheng","02-2874-5737","111","111台北市士林區天母東路67-1號"
"TW_10091","星巴克士林門市ShiLin","02-2880-7805","111","111台北市士林區文林路122號"
"TW_10092","星巴克天母崇光門市(SOGO)","02-2834-9068","111","111台北市士林區台北SOGO中山北路六段77號B1"
"TW_10093","星巴克士林承德ChengdeShilin","02-2885-1251","111","111台北市士林區承德路四段67號"
"TW_10094","星巴克關渡門市","02-28945123","112","112台北市北投區大度路三段296巷45號1樓"
"TW_10095","星巴克石牌門市ShiPai","02-2827-7832","112","112台北市北投區石牌路二段74號"
"TW_10096","星巴克華碩企總門市","02-2897-7118","112","112台北市北投區立德路15號"
"TW_10097","星巴克光明門市GuangMing","02-2898-1051","112","112台北市北投區光明路218-4號"
"TW_10098","星巴克振興門市","02-28216075","112","112台北市北投區振興街37號"
"TW_10099","星巴克陽明山門市YangMingShan","02-2861-0399","112","112台北市北投區湖山路一段14號"
"TW_10100","星巴克環山門市HuanShan","02-2799-5897","114","114台北市內湖區內湖路一段289號"
"TW_10101","星巴克西湖門市XiHu","02-2627-6027","114","114台北市內湖區內湖路一段360巷2號"
"TW_10102","星巴克內湖民權門市NeihuMinquan","02-2793-9550","114","114台北市內湖區民權東路六段182號"
"TW_10103","星巴克內湖成功NeihuChenggong","02-2796-3099","114","114台北市內湖區成功路四段147號"
"TW_10104","星巴克洲子門市","02-26589178","114","114台北市內湖區洲子街48號"
"TW_10105","星巴克基湖門市JiHu","02-2799-9334","114","114台北市內湖區基湖路25號"
"TW_10106","星巴克康寧門市KangNing","02-2633-1621","114","114台北市內湖區康寧路三段72號"
"TW_10107","星巴克舊宗新湖JiuzongXinhu","02-2795-3963","114","114台北市內湖區新湖二路128號"
"TW_10108","星巴克港墘門市GangQian","02-8753-5105","114","114台北市內湖區瑞光路216號"
"TW_10109","星巴克瑞光門市RuiCuang","02-2659-3912","114","114台北市內湖區瑞光路356號"
"TW_10110","星巴克瑞傳門市RuiChuan","02-8798-3266","114","114台北市內湖區瑞光路476號"
"TW_10111","星巴克舊宗門市JiuZong","02-8792-8408","114","114台北市內湖區舊宗路一段188號"
"TW_10112","星巴克南港門市SoftwarePark","02-2655-1456","115","115台北市南港區三重路19-10號"
"TW_10113","星巴克南港三重門市","02-2651-5309","115","115台北市南港區南港路一段114號"
"TW_10114","星巴克南園門市SoftwarePark2","02-2785-0096","115","115台北市南港區園區街3號"
"TW_10115","星巴克木柵門市Muzha","02-2234-3305","116","116台北市文山區木柵路三段75號"
"TW_10116","星巴克木新門市","02-2938-8436","116","116台北市文山區木新路3段162號"
"TW_10117","星巴克政大門市ZhengDa","02-8661-6613","116","116台北市文山區指南路二段105號"
"TW_10118","星巴克萬芳門市WanFangHospital","02-2933-6950","116","116台北市文山區興隆路三段111號"
"TW_10119","星巴克板民門市BanmingStore","02-2962-5438","220","220新北市板橋區三民路二段23號"
"TW_10120","星巴克板橋門市BanQiao","02-8952-3190","220","220新北市板橋區中山路一段152號"
"TW_10121","星巴克板中門市BanZhong","02-2963-5728","220","220新北市板橋區中山路一段15號"
"TW_10122","星巴克板橋新埔XinpuBanqiao","02-2255-5621","220","220新北市板橋區文化路1段220號1F~2F"
"TW_10123","星巴克板橋新巨蛋門市","02-22544539","220","220新北市板橋區文化路1段360號"
"TW_10124","星巴克板橋忠孝門市","02-29559446","220","220新北市板橋區忠孝路 31號"
"TW_10125","星巴克亞東門市YaDong","02-8967-6556","220","220新北市板橋區南雅南路二段21號"
"TW_10126","星巴克新站遠百","02-2959-2768","220","220新北市板橋區新站路28號"
"TW_10127","星巴克板橋大遠百門市","02-29643733","220","220新北市板橋區新站路28號2樓"
"TW_10128","星巴克板橋萬板門市","02-22578224","220","220新北市板橋區萬板路32號"
"TW_10129","星巴克板橋車站門市BanqiaoMainStation","02-8969-3356","220","220新北市板橋區縣民大道二段7號"
"TW_10130","星巴克板站捷運門市","02-89693768","220","220新北市板橋區縣民大道二段7號B1 (捷運3A出口)"
"TW_10131","星巴克板雙門市BanShuang","02-2253-1610","220","220新北市板橋區雙十路二段193號"
"TW_10132","星巴克汐止大同門市","02-86921206","221","221新北市汐止區大同路2段500號"
"TW_10133","星巴克汐止湖前門市","02-26948900","221","221新北市汐止區湖前街78 & 80號"
"TW_10134","星巴克東科門市FarEastWorld","02-2696-1269","221","221新北市汐止區新台五路一段94號"
"TW_10135","星巴克新店中正門市","02-29182113","231","231新北市新店區中正路265號"
"TW_10136","星巴克新中門市XinZhong","02-8919-9008","231","231新北市新店區中興路三段3號"
"TW_10137","星巴克新店門市XinDian","02-8911-0996","231","231新北市新店區北新路一段305號"
"TW_10138","星巴克北新門市BeiXin","02-2910-6121","231","231新北市新店區民權路27號"
"TW_10139","星巴克新店建國門市","02-2916-1358","231","231新北市新店區民權路78號"
"TW_10140","星巴克慈濟門市TzuChi","02-8219-2279","231","231新北市新店區建國路289號"
"TW_10141","星巴克永和中正門市","02-29486496","234","234新北市永和區中正路312號"
"TW_10142","星巴克雙和門市ShuangHe","02-8231-5476","234","234新北市永和區太平洋百貨中山路一段240號"
"TW_10143","星巴克永和愛買門市","02-2943-3767","234","234新北市永和區民生路46巷50號"
"TW_10144","星巴克永和頂溪門市","02-29230670","234","234新北市永和區永和路二段181號"
"TW_10145","星巴克永和永安YongheAnle","028921-5223","234","234新北市永和區安樂路248-7號"
"TW_10146","星巴克竹林門市ZhuLin","02-2921-2560","234","234新北市永和區竹林路222-1號"
"TW_10147","星巴克雙和醫院門市","02-2245-9145","235","235新北市中和區中正路291號"
"TW_10148","星巴克立言門市LiYan","02-2226-1773","235","235新北市中和區中正路866號"
"TW_10149","星巴克南勢角門市","02-86682361","235","235新北市中和區和平街1號"
"TW_10150","星巴克中科門市FarEastCenturyPark","02-8226-3573","235","235新北市中和區建一路152號"
"TW_10151","星巴克中和遠科門市","02-8227-8012","235","235新北市中和區連城路268號"
"TW_10152","星巴克環球門市GlobalMall","02-3234-0635","235","235新北市中和區環球購物中心中山路三段122號"
"TW_10153","星巴克土城金城門市","02-2264-3619","236","236新北市土城區金城路三段11號1樓"
"TW_10154","星巴克土城門市TuCheng","02-8273-2039","236","236新北市土城區家樂福青雲路152號"
"TW_10155","星巴克三峽學成門市","02-35012834","237","237新北市三峽區學成路317號"
"TW_10156","星巴克樹林中山","02-86755269","238","238新北市樹林區中山路一段157號 (近立人街口)"
"TW_10157","星巴克學勤北大門市","02-3501-7929","238","238新北市樹林區家樂福北大店大雅路288號"
"TW_10158","星巴克三重三和門市","02-8283-9371","241","241新北市三重區三和路四段388-2號"
"TW_10159","星巴克湯城門市TangCheng","02-2278-9975","241","241新北市三重區三重湯城廣場重新路五段609巷10號"
"TW_10160","星巴克三重門市SanChong","02-2984-5409","241","241新北市三重區正義北路13號"
"TW_10161","星巴克三重正義門市","02-2984-2977","241","241新北市三重區正義北路140號"
"TW_10162","星巴克二重門市ErChong","02-8512-4050","241","241新北市三重區家樂福重新路五段654號"
"TW_10163","星巴克重陽集賢門市","02-2857-2591","241","241新北市三重區集賢路137號"
"TW_10164","星巴克三重菜寮門市","02-89853087","241","241新北市三重區新北大道1段6號"
"TW_10165","星巴克新莊中正門市XinzhuangZhongzheng","02-2994-7998","242","242新北市新莊區中正路178號"
"TW_10166","星巴克新莊門市XinZhuang","02-2998-4957","242","242新北市新莊區幸福路763-3號"
"TW_10167","星巴克MITSUI門市","02-26069536","244","244新北市林口區文化三路一段356號"
"TW_10168","星巴克林口文化三門市","02-26068655","244","244新北市林口區文化三路一段359 號"
"TW_10169","星巴克文化門市WenHua","02-2602-5026","244","244新北市林口區家樂福林口店文化二路一段551號"
"TW_10170","星巴克蘆洲三民門市","02-28485279","247","247新北市蘆洲區三民路120號"
"TW_10171","星巴克蘆洲長榮門市","02-82863554","247","247新北市蘆洲區長榮路418號1樓"
"TW_10172","星巴克淡海門市","02-26226701","251","251新北市淡水區中山北路二段183號1樓"
"TW_10173","星巴克河岸門市Riverside","02-2625-3320","251","251新北市淡水區中正路205號"
"TW_10174","星巴克淡水門市DanSui","02-2625-5399","251","251新北市淡水區公明街89號"
"TW_10175","星巴克竹圍門市ZhuWei","02-8809-7355","251","251新北市淡水區民權路42號"
"TW_10176","星巴克漁人碼頭門市","02-2805-1113","251","251新北市淡水區觀海路91號"
