"site","site_address"
"淡水","25158新北市淡水區中正路1號"
"關渡","11259臺北市北投區大度路3段296巷51號"
"忠義","11257臺北市北投區中央北路4段301號"
"新北投","11268臺北市北投區大業路700號"
"北投","11246臺北市北投區光明路1號"
"圓山","10367臺北市大同區酒泉街9之1號"
"劍潭","11163臺北市士林區中山北路5段65號"
"士林","11163臺北市士林區福德路1號"
"芝山","11158臺北市士林區福國路70號"
"明德","11280臺北市北投區明德路95號"
"石牌","11271臺北市北投區石牌路1段200號"
"唭哩岸","11265臺北市北投區東華街2段301號"
"奇岩","11270臺北市北投區三合街2段489號"
"民權西路","10365臺北市大同區民權西路72號"
"雙連","10354臺北市大同區民生西路47號"
"中山","10444臺北市中山區南京西路16號"
"新埔","22047新北市板橋區民生路3段2號B1"
"江子翠","22044新北市板橋區文化路2段296號B1"
"龍山寺","10855臺北市萬華區西園路1段153號"
"西門","10042臺北市中正區寶慶路32之1號B1"
"善導寺","10049臺北市中正區忠孝東路1段58號B1"
"忠孝新生","10652臺北市大安區新生南路1段67號"
"忠孝敦化","10686臺北市大安區忠孝東路4段182號"
"國父紀念館","11072臺北市信義區忠孝東路4段400號"
"市政府","11071臺北市信義區忠孝東路5段2號"
"後山埤","11575臺北市南港區忠孝東路6段2號"
"永春","11061臺北市信義區忠孝東路5段455號"
"昆陽","11558臺北市南港區忠孝東路6段451號"
"南港","11561臺北市南港區忠孝東路7段380號"
"動物園","11656臺北市文山區新光路2段32號"
"木柵","11656臺北市文山區木柵路4段135號"
"萬芳社區","11653臺北市文山區萬芳路60號"
"萬芳醫院","11696臺北市文山區興隆路3段113號"
"麟光","10676臺北市大安區和平東路3段410號"
"辛亥","11694臺北市文山區辛亥路4段128號"
"六張犁","10674臺北市大安區和平東路3段168號"
"科技大樓","10667臺北市大安區復興南路2段235號"
"大安","10683臺北市大安區信義路4段2號"
"南京復興","10550臺北市松山區南京東路3段253號"
"中山國中","10476臺北市中山區復興北路376號"
"忠孝復興","10654臺北市大安區忠孝東路3段302號"
"新店","23152新北市新店區北宜路1段2號"
"南勢角","23566新北市中和區捷運路6號  "
"景安","23582新北市中和區景平路486號"
"永安市場","23574新北市中和區中和路388號"
"頂溪","23445新北市永和區永和路2段168號B1"
"新店區公所","23147新北市新店區北新路1段295號"
"七張","23143新北市新店區北新路2段150號"
"大坪林","23143新北市新店區北新路3段190號"
"景美","11674臺北市文山區羅斯福路6段393號"
"萬隆","11678臺北市文山區羅斯福路5段214號"
"公館","10091臺北市中正區羅斯福路4段74號B1"
"台電大樓","10089臺北市中正區羅斯福路3段126之5號B1"
"古亭","10084臺北市中正區羅斯福路2段164之1號B1"
"中正紀念堂","10074臺北市中正區羅斯福路1段8之1號B1"
"小南門","10066臺北市中正區愛國西路22號B1"
"台大醫院","10048臺北市中正區公園路52號B1"
"台北車站","10041臺北市中正區忠孝西路1段49號"
"復興崗","11257臺北市北投區中央北路3段53巷10號"
"頂埔","23671新北市土城區中央路4段51-6號B3"
"海山","23660新北市土城區海山路39號B2"
"永寧","23671新北市土城區中央路3段105號B1"
"土城","23671新北市土城區金城路1段105號B1"
"板橋","22041新北市板橋區站前路5號B1"
"府中","22055新北市板橋區縣民大道1段193號B1"
"亞東醫院","22060新北市板橋區南雅南路2段17號B1"
"小碧潭","23150新北市新店區中央路151號4樓"
"松山機場","10576臺北市松山區敦化北路338號"
"大直","10465臺北市中山區北安路534之1號"
"劍南路","10464臺北市中山區北安路798號"
"西湖","11493臺北市內湖區內湖路1段256號"
"港墘","11446臺北市內湖區內湖路1段663號"
"文德","11475臺北市內湖區文德路214號"
"內湖","11489臺北市內湖區成功路4段186號"
"大湖公園","11477臺北市內湖區成功路5段11號"
"葫洲","11486臺北市內湖區康寧路3段16號"
"東湖","11486臺北市內湖區康寧路3段235號"
"南港軟體園區","11568臺北市南港區經貿二路183號"
"大安森林公園","10656臺北市大安區信義路3段100號B1"
"信義安和","10681臺北市大安區信義路4段212之1號B1"
"台北101/世貿","11049臺北市信義區信義路5段20號B1"
"象山","11080臺北市信義區信義路5段152號B1"
"南港展覽館","11568臺北市南港區南港路1段32號"
"蘆洲","24760新北市蘆洲區三民路386號B1"
"紅樹林","25173新北市淡水區中正東路2段68號"
"三民高中","24760新北市蘆洲區三民路105號B1"
"徐匯中學","24753新北市蘆洲區中山一路3號B1"
"三和國中","24152新北市三重區三和路4段107號B1"
"三重國小","24149新北市三重區三和路3段5號B1"
"大橋頭","10357臺北市大同區民權西路223號B1"
"中山國小","10452臺北市中山區民權東路1段71號B1"
"行天宮","10468臺北市中山區松江路316號B1"
"松江南京","10457臺北市中山區松江路126號B1"
"東門","10650臺北市大安區信義路2段166號B1"
"迴龍","24257新北市新莊區中正路758號B1"
"丹鳳","24256新北市新莊區中正路624之1號B1"
"輔大","24205新北市新莊區中正路510之1號B1"
"新莊","24243新北市新莊區中正路138號B1"
"頭前庄","24251新北市新莊區思源路18號B1"
"先嗇宮","24158新北市三重區重新路5段515號B1"
"三重","24161新北市三重區捷運路36號B1"
"台北橋","24142新北市三重區重新路1段108號B1"
"菜寮","24143新北市三重區重新路3段150號B1 "
"北門","10341臺北市大同區塔城街10號"
"松山","10567臺北市松山區八德路4段742號"
"南京三民","10569臺北市松山區南京東路5段237號"
"台北小巨蛋","10553臺北市松山區南京東路4段10-1號"
"竹圍","25173新北市淡水區民權路50號"