"id","pokemon","height","weight","base_experience","type_1","type_2","attack","defense","hp","special_attack","special_defense","speed"
365,"walrein",14,1506,239,"ice","water",80,90,110,95,90,65
366,"clamperl",4,525,69,"water",NA,64,85,35,74,55,32
367,"huntail",17,270,170,"water",NA,104,105,55,94,75,52
368,"gorebyss",18,226,170,"water",NA,84,105,55,114,75,52
369,"relicanth",10,234,170,"water","rock",90,130,100,45,65,55
370,"luvdisc",6,87,116,"water",NA,30,55,43,40,65,97
371,"bagon",6,421,60,"dragon",NA,75,60,45,40,30,50
372,"shelgon",11,1105,147,"dragon",NA,95,100,65,60,50,50
373,"salamence",15,1026,270,"dragon","flying",135,80,95,110,80,100
374,"beldum",6,952,60,"steel","psychic",55,80,40,35,60,30
375,"metang",12,2025,147,"steel","psychic",75,100,60,55,80,50
376,"metagross",16,5500,270,"steel","psychic",135,130,80,95,90,70
377,"regirock",17,2300,261,"rock",NA,100,200,80,50,100,50
378,"regice",18,1750,261,"ice",NA,50,100,80,100,200,50
379,"registeel",19,2050,261,"steel",NA,75,150,80,75,150,50
380,"latias",14,400,270,"dragon","psychic",80,90,80,110,130,110
381,"latios",20,600,270,"dragon","psychic",90,80,80,130,110,110
382,"kyogre",45,3520,302,"water",NA,100,90,100,150,140,90
383,"groudon",35,9500,302,"ground",NA,150,140,100,100,90,90
384,"rayquaza",70,2065,306,"dragon","flying",150,90,105,150,90,95
385,"jirachi",3,11,270,"steel","psychic",100,100,100,100,100,100
386,"deoxys-normal",17,608,270,"psychic",NA,150,50,50,150,50,150
387,"turtwig",4,102,64,"grass",NA,68,64,55,45,55,31
388,"grotle",11,970,142,"grass",NA,89,85,75,55,65,36
389,"torterra",22,3100,236,"grass","ground",109,105,95,75,85,56
390,"chimchar",5,62,62,"fire",NA,58,44,44,58,44,61
391,"monferno",9,220,142,"fire","fighting",78,52,64,78,52,81
392,"infernape",12,550,240,"fire","fighting",104,71,76,104,71,108
393,"piplup",4,52,63,"water",NA,51,53,53,61,56,40
394,"prinplup",8,230,142,"water",NA,66,68,64,81,76,50
395,"empoleon",17,845,239,"water","steel",86,88,84,111,101,60
396,"starly",3,20,49,"normal","flying",55,30,40,30,30,60
397,"staravia",6,155,119,"normal","flying",75,50,55,40,40,80
398,"staraptor",12,249,218,"normal","flying",120,70,85,50,60,100
399,"bidoof",5,200,50,"normal",NA,45,40,59,35,40,31
400,"bibarel",10,315,144,"normal","water",85,60,79,55,60,71
401,"kricketot",3,22,39,"bug",NA,25,41,37,25,41,25
402,"kricketune",10,255,134,"bug",NA,85,51,77,55,51,65
403,"shinx",5,95,53,"electric",NA,65,34,45,40,34,45
404,"luxio",9,305,127,"electric",NA,85,49,60,60,49,60
405,"luxray",14,420,235,"electric",NA,120,79,80,95,79,70
406,"budew",2,12,56,"grass","poison",30,35,40,50,70,55
407,"roserade",9,145,232,"grass","poison",70,65,60,125,105,90
408,"cranidos",9,315,70,"rock",NA,125,40,67,30,30,58
409,"rampardos",16,1025,173,"rock",NA,165,60,97,65,50,58
410,"shieldon",5,570,70,"rock","steel",42,118,30,42,88,30
411,"bastiodon",13,1495,173,"rock","steel",52,168,60,47,138,30
412,"burmy",2,34,45,"bug",NA,29,45,40,29,45,36
413,"wormadam-plant",5,65,148,"bug","grass",59,85,60,79,105,36
414,"mothim",9,233,148,"bug","flying",94,50,70,94,50,66
415,"combee",3,55,49,"bug","flying",30,42,30,30,42,70
416,"vespiquen",12,385,166,"bug","flying",80,102,70,80,102,40
417,"pachirisu",4,39,142,"electric",NA,45,70,60,45,90,95
418,"buizel",7,295,66,"water",NA,65,35,55,60,30,85
419,"floatzel",11,335,173,"water",NA,105,55,85,85,50,115
420,"cherubi",4,33,55,"grass",NA,35,45,45,62,53,35
421,"cherrim",5,93,158,"grass",NA,60,70,70,87,78,85
422,"shellos",3,63,65,"water",NA,48,48,76,57,62,34
423,"gastrodon",9,299,166,"water","ground",83,68,111,92,82,39
424,"ambipom",12,203,169,"normal",NA,100,66,75,60,66,115
425,"drifloon",4,12,70,"ghost","flying",50,34,90,60,44,70
426,"drifblim",12,150,174,"ghost","flying",80,44,150,90,54,80
427,"buneary",4,55,70,"normal",NA,66,44,55,44,56,85
428,"lopunny",12,333,168,"normal",NA,76,84,65,54,96,105
429,"mismagius",9,44,173,"ghost",NA,60,60,60,105,105,105
430,"honchkrow",9,273,177,"dark","flying",125,52,100,105,52,71
431,"glameow",5,39,62,"normal",NA,55,42,49,42,37,85
432,"purugly",10,438,158,"normal",NA,82,64,71,64,59,112
433,"chingling",2,6,57,"psychic",NA,30,50,45,65,50,45
434,"stunky",4,192,66,"poison","dark",63,47,63,41,41,74
435,"skuntank",10,380,168,"poison","dark",93,67,103,71,61,84
436,"bronzor",5,605,60,"steel","psychic",24,86,57,24,86,23
437,"bronzong",13,1870,175,"steel","psychic",89,116,67,79,116,33
438,"bonsly",5,150,58,"rock",NA,80,95,50,10,45,10
439,"mime-jr",6,130,62,"psychic","fairy",25,45,20,70,90,60
440,"happiny",6,244,110,"normal",NA,5,5,100,15,65,30
441,"chatot",5,19,144,"normal","flying",65,45,76,92,42,91
442,"spiritomb",10,1080,170,"ghost","dark",92,108,50,92,108,35
443,"gible",7,205,60,"dragon","ground",70,45,58,40,45,42
444,"gabite",14,560,144,"dragon","ground",90,65,68,50,55,82
445,"garchomp",19,950,270,"dragon","ground",130,95,108,80,85,102
446,"munchlax",6,1050,78,"normal",NA,85,40,135,40,85,5
447,"riolu",7,202,57,"fighting",NA,70,40,40,35,40,60
448,"lucario",12,540,184,"fighting","steel",110,70,70,115,70,90
449,"hippopotas",8,495,66,"ground",NA,72,78,68,38,42,32
450,"hippowdon",20,3000,184,"ground",NA,112,118,108,68,72,47
451,"skorupi",8,120,66,"poison","bug",50,90,40,30,55,65
452,"drapion",13,615,175,"poison","dark",90,110,70,60,75,95
453,"croagunk",7,230,60,"poison","fighting",61,40,48,61,40,50
454,"toxicroak",13,444,172,"poison","fighting",106,65,83,86,65,85
455,"carnivine",14,270,159,"grass",NA,100,72,74,90,72,46
456,"finneon",4,70,66,"water",NA,49,56,49,49,61,66
457,"lumineon",12,240,161,"water",NA,69,76,69,69,86,91
458,"mantyke",10,650,69,"water","flying",20,50,45,60,120,50
459,"snover",10,505,67,"grass","ice",62,50,60,62,60,40
460,"abomasnow",22,1355,173,"grass","ice",92,75,90,92,85,60
461,"weavile",11,340,179,"dark","ice",120,65,70,45,85,125
462,"magnezone",12,1800,241,"electric","steel",70,115,70,130,90,60
463,"lickilicky",17,1400,180,"normal",NA,85,95,110,80,95,50
464,"rhyperior",24,2828,241,"ground","rock",140,130,115,55,55,40
465,"tangrowth",20,1286,187,"grass",NA,100,125,100,110,50,50
466,"electivire",18,1386,243,"electric",NA,123,67,75,95,85,95
467,"magmortar",16,680,243,"fire",NA,95,67,75,125,95,83
468,"togekiss",15,380,245,"fairy","flying",50,95,85,120,115,80
469,"yanmega",19,515,180,"bug","flying",76,86,86,116,56,95
470,"leafeon",10,255,184,"grass",NA,110,130,65,60,65,95
471,"glaceon",8,259,184,"ice",NA,60,110,65,130,95,65
472,"gliscor",20,425,179,"ground","flying",95,125,75,45,75,95
473,"mamoswine",25,2910,239,"ice","ground",130,80,110,70,60,80
474,"porygon-z",9,340,241,"normal",NA,80,70,85,135,75,90
475,"gallade",16,520,233,"psychic","fighting",125,65,68,65,115,80
476,"probopass",14,3400,184,"rock","steel",55,145,60,75,150,40
477,"dusknoir",22,1066,236,"ghost",NA,100,135,45,65,135,45
478,"froslass",13,266,168,"ice","ghost",80,70,70,80,70,110
479,"rotom",3,3,154,"electric","ghost",50,77,50,95,77,91
480,"uxie",3,3,261,"psychic",NA,75,130,75,75,130,95
481,"mesprit",3,3,261,"psychic",NA,105,105,80,105,105,80
482,"azelf",3,3,261,"psychic",NA,125,70,75,125,70,115
483,"dialga",54,6830,306,"steel","dragon",120,120,100,150,100,90
484,"palkia",42,3360,306,"water","dragon",120,100,90,150,120,100
485,"heatran",17,4300,270,"fire","steel",90,106,91,130,106,77
486,"regigigas",37,4200,302,"normal",NA,160,110,110,80,110,100
487,"giratina-altered",45,7500,306,"ghost","dragon",100,120,150,100,120,90
488,"cresselia",15,856,270,"psychic",NA,70,120,120,75,130,85
489,"phione",4,31,216,"water",NA,80,80,80,80,80,80
490,"manaphy",3,14,270,"water",NA,100,100,100,100,100,100
491,"darkrai",15,505,270,"dark",NA,90,90,70,135,90,125
492,"shaymin-land",2,21,270,"grass",NA,100,100,100,100,100,100
493,"arceus",32,3200,324,"normal",NA,120,120,120,120,120,120
494,"victini",4,40,270,"psychic","fire",100,100,100,100,100,100
495,"snivy",6,81,62,"grass",NA,45,55,45,45,55,63
496,"servine",8,160,145,"grass",NA,60,75,60,60,75,83
497,"serperior",33,630,238,"grass",NA,75,95,75,75,95,113
498,"tepig",5,99,62,"fire",NA,63,45,65,45,45,45
499,"pignite",10,555,146,"fire","fighting",93,55,90,70,55,55
500,"emboar",16,1500,238,"fire","fighting",123,65,110,100,65,65
501,"oshawott",5,59,62,"water",NA,55,45,55,63,45,45
502,"dewott",8,245,145,"water",NA,75,60,75,83,60,60
503,"samurott",15,946,238,"water",NA,100,85,95,108,70,70
504,"patrat",5,116,51,"normal",NA,55,39,45,35,39,42
505,"watchog",11,270,147,"normal",NA,85,69,60,60,69,77
506,"lillipup",4,41,55,"normal",NA,60,45,45,25,45,55
507,"herdier",9,147,130,"normal",NA,80,65,65,35,65,60
508,"stoutland",12,610,225,"normal",NA,110,90,85,45,90,80
509,"purrloin",4,101,56,"dark",NA,50,37,41,50,37,66
510,"liepard",11,375,156,"dark",NA,88,50,64,88,50,106
511,"pansage",6,105,63,"grass",NA,53,48,50,53,48,64
512,"simisage",11,305,174,"grass",NA,98,63,75,98,63,101
513,"pansear",6,110,63,"fire",NA,53,48,50,53,48,64
514,"simisear",10,280,174,"fire",NA,98,63,75,98,63,101
515,"panpour",6,135,63,"water",NA,53,48,50,53,48,64
516,"simipour",10,290,174,"water",NA,98,63,75,98,63,101
517,"munna",6,233,58,"psychic",NA,25,45,76,67,55,24
518,"musharna",11,605,170,"psychic",NA,55,85,116,107,95,29
519,"pidove",3,21,53,"normal","flying",55,50,50,36,30,43
520,"tranquill",6,150,125,"normal","flying",77,62,62,50,42,65
521,"unfezant",12,290,220,"normal","flying",115,80,80,65,55,93
522,"blitzle",8,298,59,"electric",NA,60,32,45,50,32,76
523,"zebstrika",16,795,174,"electric",NA,100,63,75,80,63,116
524,"roggenrola",4,180,56,"rock",NA,75,85,55,25,25,15
525,"boldore",9,1020,137,"rock",NA,105,105,70,50,40,20
526,"gigalith",17,2600,232,"rock",NA,135,130,85,60,80,25
527,"woobat",4,21,63,"psychic","flying",45,43,55,55,43,72
528,"swoobat",9,105,149,"psychic","flying",57,55,67,77,55,114
529,"drilbur",3,85,66,"ground",NA,85,40,60,30,45,68
530,"excadrill",7,404,178,"ground","steel",135,60,110,50,65,88
531,"audino",11,310,390,"normal",NA,60,86,103,60,86,50
532,"timburr",6,125,61,"fighting",NA,80,55,75,25,35,35
533,"gurdurr",12,400,142,"fighting",NA,105,85,85,40,50,40
534,"conkeldurr",14,870,227,"fighting",NA,140,95,105,55,65,45
535,"tympole",5,45,59,"water",NA,50,40,50,50,40,64
536,"palpitoad",8,170,134,"water","ground",65,55,75,65,55,69
537,"seismitoad",15,620,229,"water","ground",95,75,105,85,75,74
538,"throh",13,555,163,"fighting",NA,100,85,120,30,85,45
539,"sawk",14,510,163,"fighting",NA,125,75,75,30,75,85
540,"sewaddle",3,25,62,"bug","grass",53,70,45,40,60,42
541,"swadloon",5,73,133,"bug","grass",63,90,55,50,80,42
542,"leavanny",12,205,225,"bug","grass",103,80,75,70,80,92
543,"venipede",4,53,52,"bug","poison",45,59,30,30,39,57
544,"whirlipede",12,585,126,"bug","poison",55,99,40,40,79,47
545,"scolipede",25,2005,218,"bug","poison",100,89,60,55,69,112
546,"cottonee",3,6,56,"grass","fairy",27,60,40,37,50,66
547,"whimsicott",7,66,168,"grass","fairy",67,85,60,77,75,116
548,"petilil",5,66,56,"grass",NA,35,50,45,70,50,30
549,"lilligant",11,163,168,"grass",NA,60,75,70,110,75,90
550,"basculin-red-striped",10,180,161,"water",NA,92,65,70,80,55,98
551,"sandile",7,152,58,"ground","dark",72,35,50,35,35,65
552,"krokorok",10,334,123,"ground","dark",82,45,60,45,45,74
553,"krookodile",15,963,234,"ground","dark",117,80,95,65,70,92
554,"darumaka",6,375,63,"fire",NA,90,45,70,15,45,50
555,"darmanitan-standard",13,929,168,"fire",NA,140,55,105,30,55,95
556,"maractus",10,280,161,"grass",NA,86,67,75,106,67,60
557,"dwebble",3,145,65,"bug","rock",65,85,50,35,35,55
558,"crustle",14,2000,166,"bug","rock",95,125,70,65,75,45
559,"scraggy",6,118,70,"dark","fighting",75,70,50,35,70,48
560,"scrafty",11,300,171,"dark","fighting",90,115,65,45,115,58
561,"sigilyph",14,140,172,"psychic","flying",58,80,72,103,80,97
562,"yamask",5,15,61,"ghost",NA,30,85,38,55,65,30
563,"cofagrigus",17,765,169,"ghost",NA,50,145,58,95,105,30
564,"tirtouga",7,165,71,"water","rock",78,103,54,53,45,22
565,"carracosta",12,810,173,"water","rock",108,133,74,83,65,32
566,"archen",5,95,71,"rock","flying",112,45,55,74,45,70
567,"archeops",14,320,177,"rock","flying",140,65,75,112,65,110
568,"trubbish",6,310,66,"poison",NA,50,62,50,40,62,65
569,"garbodor",19,1073,166,"poison",NA,95,82,80,60,82,75
570,"zorua",7,125,66,"dark",NA,65,40,40,80,40,65
571,"zoroark",16,811,179,"dark",NA,105,60,60,120,60,105
572,"minccino",4,58,60,"normal",NA,50,40,55,40,40,75
573,"cinccino",5,75,165,"normal",NA,95,60,75,65,60,115
574,"gothita",4,58,58,"psychic",NA,30,50,45,55,65,45
575,"gothorita",7,180,137,"psychic",NA,45,70,60,75,85,55
576,"gothitelle",15,440,221,"psychic",NA,55,95,70,95,110,65
577,"solosis",3,10,58,"psychic",NA,30,40,45,105,50,20
578,"duosion",6,80,130,"psychic",NA,40,50,65,125,60,30
579,"reuniclus",10,201,221,"psychic",NA,65,75,110,125,85,30
580,"ducklett",5,55,61,"water","flying",44,50,62,44,50,55
581,"swanna",13,242,166,"water","flying",87,63,75,87,63,98
582,"vanillite",4,57,61,"ice",NA,50,50,36,65,60,44
583,"vanillish",11,410,138,"ice",NA,65,65,51,80,75,59
584,"vanilluxe",13,575,241,"ice",NA,95,85,71,110,95,79
585,"deerling",6,195,67,"normal","grass",60,50,60,40,50,75
586,"sawsbuck",19,925,166,"normal","grass",100,70,80,60,70,95
587,"emolga",4,50,150,"electric","flying",75,60,55,75,60,103
588,"karrablast",5,59,63,"bug",NA,75,45,50,40,45,60
589,"escavalier",10,330,173,"bug","steel",135,105,70,60,105,20
590,"foongus",2,10,59,"grass","poison",55,45,69,55,55,15
591,"amoonguss",6,105,162,"grass","poison",85,70,114,85,80,30
592,"frillish",12,330,67,"water","ghost",40,50,55,65,85,40
593,"jellicent",22,1350,168,"water","ghost",60,70,100,85,105,60
594,"alomomola",12,316,165,"water",NA,75,80,165,40,45,65
595,"joltik",1,6,64,"bug","electric",47,50,50,57,50,65
596,"galvantula",8,143,165,"bug","electric",77,60,70,97,60,108
597,"ferroseed",6,188,61,"grass","steel",50,91,44,24,86,10
598,"ferrothorn",10,1100,171,"grass","steel",94,131,74,54,116,20
599,"klink",3,210,60,"steel",NA,55,70,40,45,60,30
600,"klang",6,510,154,"steel",NA,80,95,60,70,85,50
601,"klinklang",6,810,234,"steel",NA,100,115,60,70,85,90
602,"tynamo",2,3,55,"electric",NA,55,40,35,45,40,60
603,"eelektrik",12,220,142,"electric",NA,85,70,65,75,70,40
604,"eelektross",21,805,232,"electric",NA,115,80,85,105,80,50
605,"elgyem",5,90,67,"psychic",NA,55,55,55,85,55,30
606,"beheeyem",10,345,170,"psychic",NA,75,75,75,125,95,40
607,"litwick",3,31,55,"ghost","fire",30,55,50,65,55,20
608,"lampent",6,130,130,"ghost","fire",40,60,60,95,60,55
609,"chandelure",10,343,234,"ghost","fire",55,90,60,145,90,80
610,"axew",6,180,64,"dragon",NA,87,60,46,30,40,57
611,"fraxure",10,360,144,"dragon",NA,117,70,66,40,50,67
612,"haxorus",18,1055,243,"dragon",NA,147,90,76,60,70,97
613,"cubchoo",5,85,61,"ice",NA,70,40,55,60,40,40
614,"beartic",26,2600,170,"ice",NA,110,80,95,70,80,50
615,"cryogonal",11,1480,170,"ice",NA,50,30,70,95,135,105
616,"shelmet",4,77,61,"bug",NA,40,85,50,40,65,25
617,"accelgor",8,253,173,"bug",NA,70,40,80,100,60,145
618,"stunfisk",7,110,165,"ground","electric",66,84,109,81,99,32
619,"mienfoo",9,200,70,"fighting",NA,85,50,45,55,50,65
620,"mienshao",14,355,179,"fighting",NA,125,60,65,95,60,105
621,"druddigon",16,1390,170,"dragon",NA,120,90,77,60,90,48
622,"golett",10,920,61,"ground","ghost",74,50,59,35,50,35
623,"golurk",28,3300,169,"ground","ghost",124,80,89,55,80,55
624,"pawniard",5,102,68,"dark","steel",85,70,45,40,40,60
625,"bisharp",16,700,172,"dark","steel",125,100,65,60,70,70
626,"bouffalant",16,946,172,"normal",NA,110,95,95,40,95,55
627,"rufflet",5,105,70,"normal","flying",83,50,70,37,50,60
628,"braviary",15,410,179,"normal","flying",123,75,100,57,75,80
629,"vullaby",5,90,74,"dark","flying",55,75,70,45,65,60
630,"mandibuzz",12,395,179,"dark","flying",65,105,110,55,95,80
631,"heatmor",14,580,169,"fire",NA,97,66,85,105,66,65
632,"durant",3,330,169,"bug","steel",109,112,58,48,48,109
633,"deino",8,173,60,"dark","dragon",65,50,52,45,50,38
634,"zweilous",14,500,147,"dark","dragon",85,70,72,65,70,58
635,"hydreigon",18,1600,270,"dark","dragon",105,90,92,125,90,98
636,"larvesta",11,288,72,"bug","fire",85,55,55,50,55,60
637,"volcarona",16,460,248,"bug","fire",60,65,85,135,105,100
638,"cobalion",21,2500,261,"steel","fighting",90,129,91,90,72,108
639,"terrakion",19,2600,261,"rock","fighting",129,90,91,72,90,108
640,"virizion",20,2000,261,"grass","fighting",90,72,91,90,129,108
641,"tornadus-incarnate",15,630,261,"flying",NA,115,70,79,125,80,111
642,"thundurus-incarnate",15,610,261,"electric","flying",115,70,79,125,80,111
643,"reshiram",32,3300,306,"dragon","fire",120,100,100,150,120,90
644,"zekrom",29,3450,306,"dragon","electric",150,120,100,120,100,90
645,"landorus-incarnate",15,680,270,"ground","flying",125,90,89,115,80,101
646,"kyurem",30,3250,297,"dragon","ice",130,90,125,130,90,95
647,"keldeo-ordinary",14,485,261,"water","fighting",72,90,91,129,90,108
648,"meloetta-aria",6,65,270,"normal","psychic",77,77,100,128,128,90
649,"genesect",15,825,270,"bug","steel",120,95,71,120,95,99
650,"chespin",4,90,63,"grass",NA,61,65,56,48,45,38
651,"quilladin",7,290,142,"grass",NA,78,95,61,56,58,57
652,"chesnaught",16,900,239,"grass","fighting",107,122,88,74,75,64
653,"fennekin",4,94,61,"fire",NA,45,40,40,62,60,60
654,"braixen",10,145,143,"fire",NA,59,58,59,90,70,73
655,"delphox",15,390,240,"fire","psychic",69,72,75,114,100,104
656,"froakie",3,70,63,"water",NA,56,40,41,62,44,71
657,"frogadier",6,109,142,"water",NA,63,52,54,83,56,97
658,"greninja",15,400,239,"water","dark",95,67,72,103,71,122
659,"bunnelby",4,50,47,"normal",NA,36,38,38,32,36,57
660,"diggersby",10,424,148,"normal","ground",56,77,85,50,77,78
661,"fletchling",3,17,56,"normal","flying",50,43,45,40,38,62
662,"fletchinder",7,160,134,"fire","flying",73,55,62,56,52,84
663,"talonflame",12,245,175,"fire","flying",81,71,78,74,69,126
664,"scatterbug",3,25,40,"bug",NA,35,40,38,27,25,35
665,"spewpa",3,84,75,"bug",NA,22,60,45,27,30,29
666,"vivillon",12,170,185,"bug","flying",52,50,80,90,50,89
667,"litleo",6,135,74,"fire","normal",50,58,62,73,54,72
668,"pyroar",15,815,177,"fire","normal",68,72,86,109,66,106
669,"flabebe",1,1,61,"fairy",NA,38,39,44,61,79,42
670,"floette",2,9,130,"fairy",NA,45,47,54,75,98,52
671,"florges",11,100,248,"fairy",NA,65,68,78,112,154,75
672,"skiddo",9,310,70,"grass",NA,65,48,66,62,57,52
673,"gogoat",17,910,186,"grass",NA,100,62,123,97,81,68
674,"pancham",6,80,70,"fighting",NA,82,62,67,46,48,43
675,"pangoro",21,1360,173,"fighting","dark",124,78,95,69,71,58
676,"furfrou",12,280,165,"normal",NA,80,60,75,65,90,102
677,"espurr",3,35,71,"psychic",NA,48,54,62,63,60,68
678,"meowstic-male",6,85,163,"psychic",NA,48,76,74,83,81,104
679,"honedge",8,20,65,"steel","ghost",80,100,45,35,37,28
680,"doublade",8,45,157,"steel","ghost",110,150,59,45,49,35
681,"aegislash-shield",17,530,234,"steel","ghost",50,150,60,50,150,60
682,"spritzee",2,5,68,"fairy",NA,52,60,78,63,65,23
683,"aromatisse",8,155,162,"fairy",NA,72,72,101,99,89,29
684,"swirlix",4,35,68,"fairy",NA,48,66,62,59,57,49
685,"slurpuff",8,50,168,"fairy",NA,80,86,82,85,75,72
686,"inkay",4,35,58,"dark","psychic",54,53,53,37,46,45
687,"malamar",15,470,169,"dark","psychic",92,88,86,68,75,73
688,"binacle",5,310,61,"rock","water",52,67,42,39,56,50
689,"barbaracle",13,960,175,"rock","water",105,115,72,54,86,68
690,"skrelp",5,73,64,"poison","water",60,60,50,60,60,30
691,"dragalge",18,815,173,"poison","dragon",75,90,65,97,123,44
692,"clauncher",5,83,66,"water",NA,53,62,50,58,63,44
693,"clawitzer",13,353,100,"water",NA,73,88,71,120,89,59
694,"helioptile",5,60,58,"electric","normal",38,33,44,61,43,70
695,"heliolisk",10,210,168,"electric","normal",55,52,62,109,94,109
696,"tyrunt",8,260,72,"rock","dragon",89,77,58,45,45,48
697,"tyrantrum",25,2700,182,"rock","dragon",121,119,82,69,59,71
698,"amaura",13,252,72,"rock","ice",59,50,77,67,63,46
699,"aurorus",27,2250,104,"rock","ice",77,72,123,99,92,58
700,"sylveon",10,235,184,"fairy",NA,65,65,95,110,130,60
701,"hawlucha",8,215,175,"fighting","flying",92,75,78,74,63,118
702,"dedenne",2,22,151,"electric","fairy",58,57,67,81,67,101
703,"carbink",3,57,100,"rock","fairy",50,150,50,50,150,50
704,"goomy",3,28,60,"dragon",NA,50,35,45,55,75,40
705,"sliggoo",8,175,158,"dragon",NA,75,53,68,83,113,60
706,"goodra",20,1505,270,"dragon",NA,100,70,90,110,150,80
707,"klefki",2,30,165,"steel","fairy",80,91,57,80,87,75
708,"phantump",4,70,62,"ghost","grass",70,48,43,50,60,38
709,"trevenant",15,710,166,"ghost","grass",110,76,85,65,82,56
710,"pumpkaboo-average",4,50,67,"ghost","grass",66,70,49,44,55,51
711,"gourgeist-average",9,125,173,"ghost","grass",90,122,65,58,75,84
712,"bergmite",10,995,61,"ice",NA,69,85,55,32,35,28
713,"avalugg",20,5050,180,"ice",NA,117,184,95,44,46,28
714,"noibat",5,80,49,"flying","dragon",30,35,40,45,40,55
715,"noivern",15,850,187,"flying","dragon",70,80,85,97,80,123
716,"xerneas",30,2150,306,"fairy",NA,131,95,126,131,98,99
717,"yveltal",58,2030,306,"dark","flying",131,95,126,131,98,99
718,"zygarde",50,3050,270,"dragon","ground",100,121,108,81,95,95
719,"diancie",7,88,270,"rock","fairy",100,150,50,100,150,50
720,"hoopa",5,90,270,"psychic","ghost",110,60,80,150,130,70
721,"volcanion",17,1950,270,"fire","water",110,120,80,130,90,70
